,id,q_format,a_format
0,F2,What is [COURSE] about?,[COURSE] is about [COURSE_DESCRIPTION]
1,F2,What are the Mathematics/Statistics Support Elective options for [MAJOR],The available Mathematics/Statistics Support Elective options for [MAJOR] are: [COURSE_LIST]
2,F2,What are the approved technical electives for [MAJOR],The available approved technical elective options for [MAJOR] are: [COURSE_LIST]
3,F2,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST]
4,F2,Is taking the GRE required for acceptance into the 4+1 program for [MAJOR]?,"No, for [MAJOR] majors, students do not need to take the General Record Exam."
5,F2,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST]
6,F2,What classes are availabe to satisfy the pre-requisite technical elective course for [MAJOR]?,The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST]
7,F2,Which courses will count as approved pre-requisite technical electives for [MAJOR],The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST]
8,F2,What are the prereqs for [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].
9,F2,Which courses are required to be taken before [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].
10,F2,What [MAJOR] electives are offered next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
11,F2,What are the electives being offered for [MAJOR] next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
12,F2,Which electives are offered for [MAJOR] for next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].
13,F2,What courses is [PROF] teaching this quarter?,"This quarter, [PROF] is teaching [COURSE_LIST]."
14,F2,What courses is [PROF] teaching next quarter?,"Next quarter, [PROF] is teaching [COURSE_LIST]."
15,F2,What courses are required for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].
16,F2,Which courses do I need to take for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].
17,F2,What courses have [COURSE] as a prereq?,The following courses have [COURSE] as a prereq: [COURSE_LIST].
18,F2,What is [PROF] schedule like this quarter?,"[PROF] will be teaching [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... this quarter"
19,F2,What is [PROF] schedule like next quarter?,"[PROF] will be teach [COURSE_1] at [TIME], [COURSE_2] at [TIME], ... next quarter"
