,id_group,group,q_format,a_format,tag0,tag1,tag2,tag3
0,0,F2,What is [COURSE] about?,[COURSE] is about [COURSE_DESCRIPTION],[COURSE],,,
1,1,F2,What are the Mathematics/Statistics Support Elective options for [MAJOR],The available Mathematics/Statistics Support Elective options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
2,2,F2,What are the approved technical electives for [MAJOR],The available approved technical elective options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
3,3,F2,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
4,4,F2,Is taking the GRE required for acceptance into the 4+1 program for [MAJOR]?,"No, for [MAJOR] majors, students do not need to take the General Record Exam.",[MAJOR],,,
5,5,F2,Which courses will count as approved external electives for [MAJOR],The available approved external elective options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
6,6,F2,What classes are availabe to satisfy the pre-requisite technical elective course for [MAJOR]?,The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
7,7,F2,Which courses will count as approved pre-requisite technical electives for [MAJOR],The available technical elective pre-requisite options for [MAJOR] are: [COURSE_LIST],[MAJOR],,,
8,8,F2,What are the prereqs for [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].,[COURSE],,,
9,9,F2,Which courses are required to be taken before [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].,[COURSE],,,
10,10,F2,What [MAJOR] electives are offered next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,[MAJOR],,,
11,11,F2,What are the electives being offered for [MAJOR] next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,[MAJOR],,,
12,12,F2,Which electives are offered for [MAJOR] for next quarter?,The electives being offered for [MAJOR] next quarter are: [COURSE_LIST].,[MAJOR],,,
13,13,F2,What courses is [PROF] teaching this quarter?,"This quarter, [PROF] is teaching [COURSE_LIST].",[PROF],,,
14,14,F2,What courses is [PROF] teaching next quarter?,"Next quarter, [PROF] is teaching [COURSE_LIST].",[PROF],,,
15,15,F2,What courses are required for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].,[MINOR],,,
16,16,F2,Which courses do I need to take for the [MINOR] minor?,The required courses for the [MINOR] minor are: [COURSE_LIST].,[MINOR],,,
17,17,F2,What courses have [COURSE] as a prereq?,The following courses have [COURSE] as a prereq: [COURSE_LIST].,[COURSE],,,
